Year,Offence Division,Incidents Recorded,Local Government Area
2022,A Crimes against the person,5,Ballarat
2022,A Crimes against the person,120,Ballarat
2022,A Crimes against the person,147,Ballarat
2022,A Crimes against the person,53,Ballarat
2022,A Crimes against the person,222,Ballarat
2022,A Crimes against the person,185,Ballarat
2022,A Crimes against the person,184,Ballarat
2022,A Crimes against the person,5,Ballarat
2022,A Crimes against the person,6,Ballarat
2022,A Crimes against the person,21,Ballarat
2022,A Crimes against the person,5,Ballarat
2022,A Crimes against the person,3,Ballarat
2022,A Crimes against the person,26,Ballarat
2022,A Crimes against the person,8,Ballarat
2022,A Crimes against the person,4,Ballarat
2022,A Crimes against the person,3,Ballarat
2022,A Crimes against the person,22,Ballarat
2022,A Crimes against the person,25,Ballarat
2022,A Crimes against the person,45,Ballarat
2022,A Crimes against the person,2,Ballarat
2022,A Crimes against the person,16,Ballarat
2022,A Crimes against the person,59,Ballarat
2022,B Property and deception offences,82,Ballarat
2022,B Property and deception offences,1,Ballarat
2022,B Property and deception offences,2,Ballarat
2022,B Property and deception offences,708,Ballarat
2022,B Property and deception offences,61,Ballarat
2022,B Property and deception offences,1,Ballarat
2022,B Property and deception offences,151,Ballarat
2022,B Property and deception offences,3,Ballarat
2022,B Property and deception offences,1,Ballarat
2022,B Property and deception offences,312,Ballarat
2022,B Property and deception offences,180,Ballarat
2022,B Property and deception offences,367,Ballarat
2022,B Property and deception offences,1301,Ballarat
2022,B Property and deception offences,388,Ballarat
2022,B Property and deception offences,93,Ballarat
2022,B Property and deception offences,104,Ballarat
2022,B Property and deception offences,621,Ballarat
2022,B Property and deception offences,48,Ballarat
2022,B Property and deception offences,188,Ballarat
2022,B Property and deception offences,10,Ballarat
2022,B Property and deception offences,3,Ballarat
2022,B Property and deception offences,1,Ballarat
2022,C Drug offences,34,Ballarat
2022,C Drug offences,11,Ballarat
2022,C Drug offences,1,Ballarat
2022,C Drug offences,110,Ballarat
2022,C Drug offences,1,Ballarat
2022,D Public order and security offences,61,Ballarat
2022,D Public order and security offences,117,Ballarat
2022,D Public order and security offences,8,Ballarat
2022,D Public order and security offences,53,Ballarat
2022,D Public order and security offences,19,Ballarat
2022,D Public order and security offences,4,Ballarat
2022,D Public order and security offences,1,Ballarat
2022,D Public order and security offences,1,Ballarat
2022,D Public order and security offences,1,Ballarat
2022,D Public order and security offences,1,Ballarat
2022,D Public order and security offences,13,Ballarat
2022,D Public order and security offences,1,Ballarat
2022,E Justice procedures offences,1,Ballarat
2022,E Justice procedures offences,253,Ballarat
2022,E Justice procedures offences,8,Ballarat
2022,E Justice procedures offences,4,Ballarat
2022,E Justice procedures offences,26,Ballarat
2022,E Justice procedures offences,571,Ballarat
2022,E Justice procedures offences,36,Ballarat
2022,E Justice procedures offences,318,Ballarat
2022,E Justice procedures offences,21,Ballarat
2022,F Other offences,1,Ballarat
2022,F Other offences,2,Ballarat
2022,F Other offences,3,Ballarat
2022,F Other offences,118,Ballarat
2022,F Other offences,3,Ballarat
2021,A Crimes against the person,2,Ballarat
2021,A Crimes against the person,150,Ballarat
2021,A Crimes against the person,136,Ballarat
2021,A Crimes against the person,34,Ballarat
2021,A Crimes against the person,273,Ballarat
2021,A Crimes against the person,171,Ballarat
2021,A Crimes against the person,211,Ballarat
2021,A Crimes against the person,4,Ballarat
2021,A Crimes against the person,7,Ballarat
2021,A Crimes against the person,15,Ballarat
2021,A Crimes against the person,2,Ballarat
2021,A Crimes against the person,1,Ballarat
2021,A Crimes against the person,18,Ballarat
2021,A Crimes against the person,16,Ballarat
2021,A Crimes against the person,7,Ballarat
2021,A Crimes against the person,7,Ballarat
2021,A Crimes against the person,37,Ballarat
2021,A Crimes against the person,20,Ballarat
2021,A Crimes against the person,28,Ballarat
2021,A Crimes against the person,12,Ballarat
2021,A Crimes against the person,62,Ballarat
2021,B Property and deception offences,67,Ballarat
2021,B Property and deception offences,2,Ballarat
2021,B Property and deception offences,2,Ballarat
2021,B Property and deception offences,668,Ballarat
2021,B Property and deception offences,77,Ballarat
2021,B Property and deception offences,5,Ballarat
2021,B Property and deception offences,124,Ballarat
2021,B Property and deception offences,3,Ballarat
2021,B Property and deception offences,1,Ballarat
2021,B Property and deception offences,280,Ballarat
2021,B Property and deception offences,135,Ballarat
2021,B Property and deception offences,2,Ballarat
2021,B Property and deception offences,311,Ballarat
2021,B Property and deception offences,901,Ballarat
2021,B Property and deception offences,324,Ballarat
2021,B Property and deception offences,65,Ballarat
2021,B Property and deception offences,120,Ballarat
2021,B Property and deception offences,499,Ballarat
2021,B Property and deception offences,62,Ballarat
2021,B Property and deception offences,225,Ballarat
2021,B Property and deception offences,10,Ballarat
2021,B Property and deception offences,1,Ballarat
2021,C Drug offences,3,Ballarat
2021,C Drug offences,42,Ballarat
2021,C Drug offences,13,Ballarat
2021,C Drug offences,3,Ballarat
2021,C Drug offences,1,Ballarat
2021,C Drug offences,116,Ballarat
2021,C Drug offences,2,Ballarat
2021,D Public order and security offences,46,Ballarat
2021,D Public order and security offences,101,Ballarat
2021,D Public order and security offences,4,Ballarat
2021,D Public order and security offences,4,Ballarat
2021,D Public order and security offences,60,Ballarat
2021,D Public order and security offences,25,Ballarat
2021,D Public order and security offences,5,Ballarat
2021,D Public order and security offences,20,Ballarat
2021,D Public order and security offences,1,Ballarat
2021,D Public order and security offences,1,Ballarat
2021,D Public order and security offences,20,Ballarat
2021,D Public order and security offences,2,Ballarat
2021,E Justice procedures offences,2,Ballarat
2021,E Justice procedures offences,265,Ballarat
2021,E Justice procedures offences,9,Ballarat
2021,E Justice procedures offences,13,Ballarat
2021,E Justice procedures offences,17,Ballarat
2021,E Justice procedures offences,613,Ballarat
2021,E Justice procedures offences,34,Ballarat
2021,E Justice procedures offences,290,Ballarat
2021,E Justice procedures offences,34,Ballarat
2021,F Other offences,2,Ballarat
2021,F Other offences,1,Ballarat
2021,F Other offences,337,Ballarat
2021,F Other offences,5,Ballarat
2020,A Crimes against the person,152,Ballarat
2020,A Crimes against the person,139,Ballarat
2020,A Crimes against the person,37,Ballarat
2020,A Crimes against the person,227,Ballarat
2020,A Crimes against the person,172,Ballarat
2020,A Crimes against the person,173,Ballarat
2020,A Crimes against the person,3,Ballarat
2020,A Crimes against the person,4,Ballarat
2020,A Crimes against the person,28,Ballarat
2020,A Crimes against the person,2,Ballarat
2020,A Crimes against the person,4,Ballarat
2020,A Crimes against the person,18,Ballarat
2020,A Crimes against the person,15,Ballarat
2020,A Crimes against the person,9,Ballarat
2020,A Crimes against the person,2,Ballarat
2020,A Crimes against the person,22,Ballarat
2020,A Crimes against the person,17,Ballarat
2020,A Crimes against the person,45,Ballarat
2020,A Crimes against the person,13,Ballarat
2020,A Crimes against the person,49,Ballarat
2020,B Property and deception offences,118,Ballarat
2020,B Property and deception offences,5,Ballarat
2020,B Property and deception offences,7,Ballarat
2020,B Property and deception offences,738,Ballarat
2020,B Property and deception offences,77,Ballarat
2020,B Property and deception offences,4,Ballarat
2020,B Property and deception offences,170,Ballarat
2020,B Property and deception offences,3,Ballarat
2020,B Property and deception offences,515,Ballarat
2020,B Property and deception offences,180,Ballarat
2020,B Property and deception offences,593,Ballarat
2020,B Property and deception offences,1468,Ballarat
2020,B Property and deception offences,510,Ballarat
2020,B Property and deception offences,84,Ballarat
2020,B Property and deception offences,164,Ballarat
2020,B Property and deception offences,872,Ballarat
2020,B Property and deception offences,76,Ballarat
2020,B Property and deception offences,239,Ballarat
2020,B Property and deception offences,12,Ballarat
2020,B Property and deception offences,1,Ballarat
2020,B Property and deception offences,1,Ballarat
2020,C Drug offences,42,Ballarat
2020,C Drug offences,13,Ballarat
2020,C Drug offences,1,Ballarat
2020,C Drug offences,4,Ballarat
2020,C Drug offences,139,Ballarat
2020,C Drug offences,3,Ballarat
2020,D Public order and security offences,46,Ballarat
2020,D Public order and security offences,131,Ballarat
2020,D Public order and security offences,4,Ballarat
2020,D Public order and security offences,4,Ballarat
2020,D Public order and security offences,63,Ballarat
2020,D Public order and security offences,21,Ballarat
2020,D Public order and security offences,4,Ballarat
2020,D Public order and security offences,12,Ballarat
2020,D Public order and security offences,6,Ballarat
2020,D Public order and security offences,3,Ballarat
2020,D Public order and security offences,22,Ballarat
2020,D Public order and security offences,2,Ballarat
2020,D Public order and security offences,1,Ballarat
2020,E Justice procedures offences,1,Ballarat
2020,E Justice procedures offences,340,Ballarat
2020,E Justice procedures offences,15,Ballarat
2020,E Justice procedures offences,5,Ballarat
2020,E Justice procedures offences,19,Ballarat
2020,E Justice procedures offences,425,Ballarat
2020,E Justice procedures offences,28,Ballarat
2020,E Justice procedures offences,353,Ballarat
2020,E Justice procedures offences,26,Ballarat
2020,F Other offences,1,Ballarat
2020,F Other offences,1,Ballarat
2020,F Other offences,1,Ballarat
2020,F Other offences,5,Ballarat
2020,F Other offences,2,Ballarat
2019,A Crimes against the person,4,Ballarat
2019,A Crimes against the person,155,Ballarat
2019,A Crimes against the person,193,Ballarat
2019,A Crimes against the person,47,Ballarat
2019,A Crimes against the person,255,Ballarat
2019,A Crimes against the person,215,Ballarat
2019,A Crimes against the person,212,Ballarat
2019,A Crimes against the person,6,Ballarat
2019,A Crimes against the person,10,Ballarat
2019,A Crimes against the person,35,Ballarat
2019,A Crimes against the person,4,Ballarat
2019,A Crimes against the person,5,Ballarat
2019,A Crimes against the person,16,Ballarat
2019,A Crimes against the person,15,Ballarat
2019,A Crimes against the person,6,Ballarat
2019,A Crimes against the person,15,Ballarat
2019,A Crimes against the person,41,Ballarat
2019,A Crimes against the person,44,Ballarat
2019,A Crimes against the person,21,Ballarat
2019,A Crimes against the person,17,Ballarat
2019,A Crimes against the person,56,Ballarat
2019,B Property and deception offences,111,Ballarat
2019,B Property and deception offences,5,Ballarat
2019,B Property and deception offences,834,Ballarat
2019,B Property and deception offences,73,Ballarat
2019,B Property and deception offences,7,Ballarat
2019,B Property and deception offences,158,Ballarat
2019,B Property and deception offences,1,Ballarat
2019,B Property and deception offences,497,Ballarat
2019,B Property and deception offences,244,Ballarat
2019,B Property and deception offences,1,Ballarat
2019,B Property and deception offences,367,Ballarat
2019,B Property and deception offences,1079,Ballarat
2019,B Property and deception offences,473,Ballarat
2019,B Property and deception offences,69,Ballarat
2019,B Property and deception offences,141,Ballarat
2019,B Property and deception offences,691,Ballarat
2019,B Property and deception offences,62,Ballarat
2019,B Property and deception offences,238,Ballarat
2019,B Property and deception offences,10,Ballarat
2019,C Drug offences,1,Ballarat
2019,C Drug offences,46,Ballarat
2019,C Drug offences,8,Ballarat
2019,C Drug offences,1,Ballarat
2019,C Drug offences,21,Ballarat
2019,C Drug offences,125,Ballarat
2019,C Drug offences,2,Ballarat
2019,D Public order and security offences,47,Ballarat
2019,D Public order and security offences,138,Ballarat
2019,D Public order and security offences,3,Ballarat
2019,D Public order and security offences,7,Ballarat
2019,D Public order and security offences,97,Ballarat
2019,D Public order and security offences,26,Ballarat
2019,D Public order and security offences,19,Ballarat
2019,D Public order and security offences,7,Ballarat
2019,D Public order and security offences,1,Ballarat
2019,D Public order and security offences,5,Ballarat
2019,D Public order and security offences,1,Ballarat
2019,D Public order and security offences,19,Ballarat
2019,D Public order and security offences,2,Ballarat
2019,E Justice procedures offences,212,Ballarat
2019,E Justice procedures offences,9,Ballarat
2019,E Justice procedures offences,18,Ballarat
2019,E Justice procedures offences,22,Ballarat
2019,E Justice procedures offences,464,Ballarat
2019,E Justice procedures offences,54,Ballarat
2019,E Justice procedures offences,306,Ballarat
2019,E Justice procedures offences,20,Ballarat
2019,F Other offences,2,Ballarat
2019,F Other offences,1,Ballarat
2019,F Other offences,1,Ballarat
2019,F Other offences,6,Ballarat
2019,F Other offences,5,Ballarat
2022,A Crimes against the person,2,Pyrenees
2022,A Crimes against the person,5,Pyrenees
2022,A Crimes against the person,3,Pyrenees
2022,A Crimes against the person,1,Pyrenees
2022,A Crimes against the person,5,Pyrenees
2022,A Crimes against the person,4,Pyrenees
2022,A Crimes against the person,17,Pyrenees
2022,A Crimes against the person,1,Pyrenees
2022,A Crimes against the person,3,Pyrenees
2022,A Crimes against the person,1,Pyrenees
2022,A Crimes against the person,4,Pyrenees
2022,B Property and deception offences,4,Pyrenees
2022,B Property and deception offences,6,Pyrenees
2022,B Property and deception offences,36,Pyrenees
2022,B Property and deception offences,4,Pyrenees
2022,B Property and deception offences,3,Pyrenees
2022,B Property and deception offences,20,Pyrenees
2022,B Property and deception offences,14,Pyrenees
2022,B Property and deception offences,14,Pyrenees
2022,B Property and deception offences,20,Pyrenees
2022,B Property and deception offences,3,Pyrenees
2022,B Property and deception offences,2,Pyrenees
2022,B Property and deception offences,4,Pyrenees
2022,B Property and deception offences,40,Pyrenees
2022,B Property and deception offences,1,Pyrenees
2022,B Property and deception offences,5,Pyrenees
2022,C Drug offences,1,Pyrenees
2022,C Drug offences,1,Pyrenees
2022,C Drug offences,4,Pyrenees
2022,D Public order and security offences,3,Pyrenees
2022,D Public order and security offences,1,Pyrenees
2022,D Public order and security offences,1,Pyrenees
2022,D Public order and security offences,2,Pyrenees
2022,E Justice procedures offences,11,Pyrenees
2022,E Justice procedures offences,5,Pyrenees
2022,E Justice procedures offences,29,Pyrenees
2022,E Justice procedures offences,1,Pyrenees
2022,E Justice procedures offences,8,Pyrenees
2022,F Other offences,11,Pyrenees
2022,F Other offences,2,Pyrenees
2022,F Other offences,1,Pyrenees
2021,A Crimes against the person,2,Pyrenees
2021,A Crimes against the person,15,Pyrenees
2021,A Crimes against the person,6,Pyrenees
2021,A Crimes against the person,4,Pyrenees
2021,A Crimes against the person,17,Pyrenees
2021,A Crimes against the person,7,Pyrenees
2021,A Crimes against the person,13,Pyrenees
2021,A Crimes against the person,1,Pyrenees
2021,A Crimes against the person,1,Pyrenees
2021,A Crimes against the person,1,Pyrenees
2021,A Crimes against the person,3,Pyrenees
2021,A Crimes against the person,1,Pyrenees
2021,A Crimes against the person,2,Pyrenees
2021,A Crimes against the person,2,Pyrenees
2021,A Crimes against the person,1,Pyrenees
2021,A Crimes against the person,3,Pyrenees
2021,B Property and deception offences,2,Pyrenees
2021,B Property and deception offences,5,Pyrenees
2021,B Property and deception offences,35,Pyrenees
2021,B Property and deception offences,27,Pyrenees
2021,B Property and deception offences,11,Pyrenees
2021,B Property and deception offences,11,Pyrenees
2021,B Property and deception offences,28,Pyrenees
2021,B Property and deception offences,2,Pyrenees
2021,B Property and deception offences,42,Pyrenees
2021,B Property and deception offences,2,Pyrenees
2021,B Property and deception offences,5,Pyrenees
2021,B Property and deception offences,1,Pyrenees
2021,C Drug offences,1,Pyrenees
2021,C Drug offences,7,Pyrenees
2021,C Drug offences,6,Pyrenees
2021,D Public order and security offences,12,Pyrenees
2021,D Public order and security offences,2,Pyrenees
2021,D Public order and security offences,2,Pyrenees
2021,D Public order and security offences,1,Pyrenees
2021,E Justice procedures offences,7,Pyrenees
2021,E Justice procedures offences,1,Pyrenees
2021,E Justice procedures offences,14,Pyrenees
2021,E Justice procedures offences,4,Pyrenees
2021,E Justice procedures offences,3,Pyrenees
2021,E Justice procedures offences,3,Pyrenees
2021,F Other offences,2,Pyrenees
2021,F Other offences,2,Pyrenees
2021,F Other offences,27,Pyrenees
2021,F Other offences,1,Pyrenees
2020,A Crimes against the person,16,Pyrenees
2020,A Crimes against the person,6,Pyrenees
2020,A Crimes against the person,1,Pyrenees
2020,A Crimes against the person,19,Pyrenees
2020,A Crimes against the person,5,Pyrenees
2020,A Crimes against the person,11,Pyrenees
2020,A Crimes against the person,1,Pyrenees
2020,A Crimes against the person,2,Pyrenees
2020,A Crimes against the person,1,Pyrenees
2020,A Crimes against the person,4,Pyrenees
2020,A Crimes against the person,9,Pyrenees
2020,B Property and deception offences,5,Pyrenees
2020,B Property and deception offences,5,Pyrenees
2020,B Property and deception offences,3,Pyrenees
2020,B Property and deception offences,42,Pyrenees
2020,B Property and deception offences,2,Pyrenees
2020,B Property and deception offences,1,Pyrenees
2020,B Property and deception offences,26,Pyrenees
2020,B Property and deception offences,25,Pyrenees
2020,B Property and deception offences,9,Pyrenees
2020,B Property and deception offences,23,Pyrenees
2020,B Property and deception offences,1,Pyrenees
2020,B Property and deception offences,5,Pyrenees
2020,B Property and deception offences,38,Pyrenees
2020,B Property and deception offences,3,Pyrenees
2020,B Property and deception offences,3,Pyrenees
2020,C Drug offences,2,Pyrenees
2020,C Drug offences,5,Pyrenees
2020,D Public order and security offences,16,Pyrenees
2020,D Public order and security offences,1,Pyrenees
2020,D Public order and security offences,1,Pyrenees
2020,D Public order and security offences,1,Pyrenees
2020,D Public order and security offences,2,Pyrenees
2020,D Public order and security offences,1,Pyrenees
2020,D Public order and security offences,1,Pyrenees
2020,E Justice procedures offences,4,Pyrenees
2020,E Justice procedures offences,6,Pyrenees
2020,E Justice procedures offences,36,Pyrenees
2020,E Justice procedures offences,3,Pyrenees
2020,E Justice procedures offences,1,Pyrenees
2020,F Other offences,1,Pyrenees
2020,F Other offences,1,Pyrenees
2020,F Other offences,2,Pyrenees
2019,A Crimes against the person,2,Pyrenees
2019,A Crimes against the person,12,Pyrenees
2019,A Crimes against the person,9,Pyrenees
2019,A Crimes against the person,2,Pyrenees
2019,A Crimes against the person,20,Pyrenees
2019,A Crimes against the person,12,Pyrenees
2019,A Crimes against the person,15,Pyrenees
2019,A Crimes against the person,2,Pyrenees
2019,A Crimes against the person,2,Pyrenees
2019,A Crimes against the person,3,Pyrenees
2019,A Crimes against the person,1,Pyrenees
2019,A Crimes against the person,1,Pyrenees
2019,A Crimes against the person,1,Pyrenees
2019,A Crimes against the person,7,Pyrenees
2019,B Property and deception offences,7,Pyrenees
2019,B Property and deception offences,19,Pyrenees
2019,B Property and deception offences,24,Pyrenees
2019,B Property and deception offences,3,Pyrenees
2019,B Property and deception offences,1,Pyrenees
2019,B Property and deception offences,2,Pyrenees
2019,B Property and deception offences,32,Pyrenees
2019,B Property and deception offences,27,Pyrenees
2019,B Property and deception offences,13,Pyrenees
2019,B Property and deception offences,15,Pyrenees
2019,B Property and deception offences,6,Pyrenees
2019,B Property and deception offences,5,Pyrenees
2019,B Property and deception offences,58,Pyrenees
2019,B Property and deception offences,4,Pyrenees
2019,C Drug offences,10,Pyrenees
2019,C Drug offences,1,Pyrenees
2019,C Drug offences,1,Pyrenees
2019,C Drug offences,3,Pyrenees
2019,C Drug offences,54,Pyrenees
2019,D Public order and security offences,6,Pyrenees
2019,D Public order and security offences,1,Pyrenees
2019,D Public order and security offences,2,Pyrenees
2019,D Public order and security offences,1,Pyrenees
2019,E Justice procedures offences,3,Pyrenees
2019,E Justice procedures offences,2,Pyrenees
2019,E Justice procedures offences,24,Pyrenees
2019,E Justice procedures offences,1,Pyrenees
2019,E Justice procedures offences,2,Pyrenees
2019,F Other offences,2,Pyrenees
2022,A Crimes against the person,86,Banyule
2022,A Crimes against the person,129,Banyule
2022,A Crimes against the person,46,Banyule
2022,A Crimes against the person,177,Banyule
2022,A Crimes against the person,163,Banyule
2022,A Crimes against the person,97,Banyule
2022,A Crimes against the person,2,Banyule
2022,A Crimes against the person,4,Banyule
2022,A Crimes against the person,20,Banyule
2022,A Crimes against the person,2,Banyule
2022,A Crimes against the person,4,Banyule
2022,A Crimes against the person,2,Banyule
2022,A Crimes against the person,12,Banyule
2022,A Crimes against the person,15,Banyule
2022,A Crimes against the person,11,Banyule
2022,A Crimes against the person,19,Banyule
2022,A Crimes against the person,28,Banyule
2022,A Crimes against the person,24,Banyule
2022,A Crimes against the person,6,Banyule
2022,A Crimes against the person,1,Banyule
2022,A Crimes against the person,20,Banyule
2022,A Crimes against the person,31,Banyule
2022,B Property and deception offences,24,Banyule
2022,B Property and deception offences,1,Banyule
2022,B Property and deception offences,403,Banyule
2022,B Property and deception offences,58,Banyule
2022,B Property and deception offences,2,Banyule
2022,B Property and deception offences,46,Banyule
2022,B Property and deception offences,318,Banyule
2022,B Property and deception offences,126,Banyule
2022,B Property and deception offences,3,Banyule
2022,B Property and deception offences,147,Banyule
2022,B Property and deception offences,633,Banyule
2022,B Property and deception offences,132,Banyule
2022,B Property and deception offences,64,Banyule
2022,B Property and deception offences,102,Banyule
2022,B Property and deception offences,365,Banyule
2022,B Property and deception offences,31,Banyule
2022,B Property and deception offences,222,Banyule
2022,B Property and deception offences,16,Banyule
2022,B Property and deception offences,3,Banyule
2022,B Property and deception offences,2,Banyule
2022,C Drug offences,43,Banyule
2022,C Drug offences,7,Banyule
2022,C Drug offences,12,Banyule
2022,C Drug offences,1,Banyule
2022,C Drug offences,152,Banyule
2022,C Drug offences,1,Banyule
2022,D Public order and security offences,40,Banyule
2022,D Public order and security offences,80,Banyule
2022,D Public order and security offences,3,Banyule
2022,D Public order and security offences,7,Banyule
2022,D Public order and security offences,11,Banyule
2022,D Public order and security offences,9,Banyule
2022,D Public order and security offences,2,Banyule
2022,D Public order and security offences,9,Banyule
2022,D Public order and security offences,3,Banyule
2022,D Public order and security offences,3,Banyule
2022,D Public order and security offences,3,Banyule
2022,D Public order and security offences,34,Banyule
2022,E Justice procedures offences,1,Banyule
2022,E Justice procedures offences,57,Banyule
2022,E Justice procedures offences,4,Banyule
2022,E Justice procedures offences,24,Banyule
2022,E Justice procedures offences,17,Banyule
2022,E Justice procedures offences,330,Banyule
2022,E Justice procedures offences,75,Banyule
2022,E Justice procedures offences,609,Banyule
2022,E Justice procedures offences,64,Banyule
2022,F Other offences,1,Banyule
2022,F Other offences,1,Banyule
2022,F Other offences,1,Banyule
2022,F Other offences,1,Banyule
2022,F Other offences,36,Banyule
2022,F Other offences,3,Banyule
2022,F Other offences,3,Banyule
2021,A Crimes against the person,5,Banyule
2021,A Crimes against the person,85,Banyule
2021,A Crimes against the person,112,Banyule
2021,A Crimes against the person,49,Banyule
2021,A Crimes against the person,217,Banyule
2021,A Crimes against the person,160,Banyule
2021,A Crimes against the person,111,Banyule
2021,A Crimes against the person,1,Banyule
2021,A Crimes against the person,4,Banyule
2021,A Crimes against the person,26,Banyule
2021,A Crimes against the person,4,Banyule
2021,A Crimes against the person,1,Banyule
2021,A Crimes against the person,1,Banyule
2021,A Crimes against the person,22,Banyule
2021,A Crimes against the person,11,Banyule
2021,A Crimes against the person,10,Banyule
2021,A Crimes against the person,12,Banyule
2021,A Crimes against the person,29,Banyule
2021,A Crimes against the person,41,Banyule
2021,A Crimes against the person,11,Banyule
2021,A Crimes against the person,11,Banyule
2021,A Crimes against the person,22,Banyule
2021,B Property and deception offences,19,Banyule
2021,B Property and deception offences,500,Banyule
2021,B Property and deception offences,70,Banyule
2021,B Property and deception offences,9,Banyule
2021,B Property and deception offences,31,Banyule
2021,B Property and deception offences,334,Banyule
2021,B Property and deception offences,98,Banyule
2021,B Property and deception offences,159,Banyule
2021,B Property and deception offences,888,Banyule
2021,B Property and deception offences,176,Banyule
2021,B Property and deception offences,73,Banyule
2021,B Property and deception offences,134,Banyule
2021,B Property and deception offences,341,Banyule
2021,B Property and deception offences,49,Banyule
2021,B Property and deception offences,266,Banyule
2021,B Property and deception offences,14,Banyule
2021,B Property and deception offences,3,Banyule
2021,B Property and deception offences,10,Banyule
2021,C Drug offences,67,Banyule
2021,C Drug offences,9,Banyule
2021,C Drug offences,16,Banyule
2021,C Drug offences,1,Banyule
2021,C Drug offences,235,Banyule
2021,D Public order and security offences,31,Banyule
2021,D Public order and security offences,116,Banyule
2021,D Public order and security offences,4,Banyule
2021,D Public order and security offences,3,Banyule
2021,D Public order and security offences,18,Banyule
2021,D Public order and security offences,12,Banyule
2021,D Public order and security offences,4,Banyule
2021,D Public order and security offences,13,Banyule
2021,D Public order and security offences,1,Banyule
2021,D Public order and security offences,1,Banyule
2021,D Public order and security offences,2,Banyule
2021,D Public order and security offences,3,Banyule
2021,D Public order and security offences,38,Banyule
2021,D Public order and security offences,1,Banyule
2021,D Public order and security offences,2,Banyule
2021,E Justice procedures offences,4,Banyule
2021,E Justice procedures offences,53,Banyule
2021,E Justice procedures offences,9,Banyule
2021,E Justice procedures offences,38,Banyule
2021,E Justice procedures offences,13,Banyule
2021,E Justice procedures offences,365,Banyule
2021,E Justice procedures offences,58,Banyule
2021,E Justice procedures offences,529,Banyule
2021,E Justice procedures offences,72,Banyule
2021,F Other offences,1,Banyule
2021,F Other offences,446,Banyule
2021,F Other offences,2,Banyule
2020,A Crimes against the person,2,Banyule
2020,A Crimes against the person,107,Banyule
2020,A Crimes against the person,151,Banyule
2020,A Crimes against the person,31,Banyule
2020,A Crimes against the person,189,Banyule
2020,A Crimes against the person,155,Banyule
2020,A Crimes against the person,84,Banyule
2020,A Crimes against the person,1,Banyule
2020,A Crimes against the person,6,Banyule
2020,A Crimes against the person,25,Banyule
2020,A Crimes against the person,3,Banyule
2020,A Crimes against the person,3,Banyule
2020,A Crimes against the person,2,Banyule
2020,A Crimes against the person,18,Banyule
2020,A Crimes against the person,16,Banyule
2020,A Crimes against the person,17,Banyule
2020,A Crimes against the person,12,Banyule
2020,A Crimes against the person,32,Banyule
2020,A Crimes against the person,44,Banyule
2020,A Crimes against the person,6,Banyule
2020,A Crimes against the person,8,Banyule
2020,A Crimes against the person,27,Banyule
2020,B Property and deception offences,48,Banyule
2020,B Property and deception offences,2,Banyule
2020,B Property and deception offences,554,Banyule
2020,B Property and deception offences,69,Banyule
2020,B Property and deception offences,5,Banyule
2020,B Property and deception offences,56,Banyule
2020,B Property and deception offences,1,Banyule
2020,B Property and deception offences,511,Banyule
2020,B Property and deception offences,187,Banyule
2020,B Property and deception offences,251,Banyule
2020,B Property and deception offences,1098,Banyule
2020,B Property and deception offences,244,Banyule
2020,B Property and deception offences,87,Banyule
2020,B Property and deception offences,187,Banyule
2020,B Property and deception offences,466,Banyule
2020,B Property and deception offences,63,Banyule
2020,B Property and deception offences,376,Banyule
2020,B Property and deception offences,10,Banyule
2020,B Property and deception offences,5,Banyule
2020,C Drug offences,56,Banyule
2020,C Drug offences,16,Banyule
2020,C Drug offences,6,Banyule
2020,C Drug offences,233,Banyule
2020,D Public order and security offences,34,Banyule
2020,D Public order and security offences,145,Banyule
2020,D Public order and security offences,5,Banyule
2020,D Public order and security offences,7,Banyule
2020,D Public order and security offences,23,Banyule
2020,D Public order and security offences,11,Banyule
2020,D Public order and security offences,5,Banyule
2020,D Public order and security offences,8,Banyule
2020,D Public order and security offences,2,Banyule
2020,D Public order and security offences,5,Banyule
2020,D Public order and security offences,1,Banyule
2020,D Public order and security offences,34,Banyule
2020,D Public order and security offences,1,Banyule
2020,E Justice procedures offences,71,Banyule
2020,E Justice procedures offences,10,Banyule
2020,E Justice procedures offences,19,Banyule
2020,E Justice procedures offences,10,Banyule
2020,E Justice procedures offences,464,Banyule
2020,E Justice procedures offences,54,Banyule
2020,E Justice procedures offences,763,Banyule
2020,E Justice procedures offences,110,Banyule
2020,F Other offences,2,Banyule
2020,F Other offences,1,Banyule
2020,F Other offences,1,Banyule
2020,F Other offences,2,Banyule
2020,F Other offences,3,Banyule
2020,F Other offences,2,Banyule
2019,A Crimes against the person,2,Banyule
2019,A Crimes against the person,98,Banyule
2019,A Crimes against the person,135,Banyule
2019,A Crimes against the person,48,Banyule
2019,A Crimes against the person,187,Banyule
2019,A Crimes against the person,127,Banyule
2019,A Crimes against the person,103,Banyule
2019,A Crimes against the person,7,Banyule
2019,A Crimes against the person,36,Banyule
2019,A Crimes against the person,4,Banyule
2019,A Crimes against the person,3,Banyule
2019,A Crimes against the person,1,Banyule
2019,A Crimes against the person,14,Banyule
2019,A Crimes against the person,16,Banyule
2019,A Crimes against the person,8,Banyule
2019,A Crimes against the person,9,Banyule
2019,A Crimes against the person,56,Banyule
2019,A Crimes against the person,60,Banyule
2019,A Crimes against the person,5,Banyule
2019,A Crimes against the person,1,Banyule
2019,A Crimes against the person,6,Banyule
